"gets in the way of",2,"gets in the way","of"
"gets on my nerves and",2,"gets on my nerves","and"
"getting a little bit of",2,"getting a little bit","of"
"getting back into the swing",2,"getting back into the","swing"
"getting back on their feet",2,"getting back on their","feet"
"getting caught last month on",2,"getting caught last month","on"
"getting close to the time",2,"getting close to the","time"
"getting fewer than six hours",2,"getting fewer than six","hours"
"getting in on the action",2,"getting in on the","action"
"getting married and having children",2,"getting married and having","children"
"getting out of the car",2,"getting out of the","car"
"getting out of the house",2,"getting out of the","house"
"getting ready for the new",2,"getting ready for the","new"
"getting the best out of",2,"getting the best out","of"
"getting the kids ready for",2,"getting the kids ready","for"
"getting up and going to",2,"getting up and going","to"
"getting up in the morning",2,"getting up in the","morning"
"gift that keeps on giving",2,"gift that keeps on","giving"
"gift we can give ourselves",2,"gift we can give","ourselves"
"gifted with the ability to",2,"gifted with the ability","to"
"gifts under the tree and",2,"gifts under the tree","and"
"gingrich thrived for a while",2,"gingrich thrived for a","while"
"girl after my own heart",2,"girl after my own","heart"
"give a about any of",2,"give a about any","of"
"give a boost to the",2,"give a boost to","the"
"give away their money to",2,"give away their money","to"
"give back to the community",2,"give back to the","community"
"give it a chance as",2,"give it a chance","as"
"give it a try if",2,"give it a try","if"
"give it a try so",2,"give it a try","so"
"give it to her then",2,"give it to her","then"
"give me a bit of",2,"give me a bit","of"
"give me a feeling of",2,"give me a feeling","of"
"give me a reason to",2,"give me a reason","to"
"give people the benefit of",2,"give people the benefit","of"
"give them the opportunity to",2,"give them the opportunity","to"
"give this one a try",2,"give this one a","try"
"give us a chance to",2,"give us a chance","to"
"give us the opportunity to",2,"give us the opportunity","to"
"give you an example of",2,"give you an example","of"
"give you enough time to",2,"give you enough time","to"
"give you hope and a",2,"give you hope and","a"
"give you the flexibility to",2,"give you the flexibility","to"
"give your child an allowance",2,"give your child an","allowance"
"give yourself enough time to",2,"give yourself enough time","to"
"giveaway on your blog and",2,"giveaway on your blog","and"
"given at the end of",2,"given at the end","of"
"given at the same time",2,"given at the same","time"
"given by a friend to",2,"given by a friend","to"
"given disorderly conduct summonses for",2,"given disorderly conduct summonses","for"
"given me a lot of",2,"given me a lot","of"
"given to him by his",2,"given to him by","his"
"given to me by someone",2,"given to me by","someone"
"gives me a chance to",2,"gives me a chance","to"
"gives me something to do",2,"gives me something to","do"
"gives you a lot of",2,"gives you a lot","of"
"gives you lemons make lemonade",2,"gives you lemons make","lemonade"
"gives you the chance to",2,"gives you the chance","to"
"gives you the height of",2,"gives you the height","of"
"gives you the opportunity to",2,"gives you the opportunity","to"
"giving him a hard time",2,"giving him a hard","time"
"giving it a rubdown and",2,"giving it a rubdown","and"
"giving people a reason to",2,"giving people a reason","to"
"giving you the benefit of",2,"giving you the benefit","of"
"glad i got this done",2,"glad i got this","done"
"glad i got to see",2,"glad i got to","see"
"glad im doing this in",2,"glad im doing this","in"
"glad that it is over",2,"glad that it is","over"
"glad to have experienced it",2,"glad to have experienced","it"
"glanced at my watch and",2,"glanced at my watch","and"
"glennon childrens medical center and",2,"glennon childrens medical center","and"
"glimpse into the world of",2,"glimpse into the world","of"
"global warming theorists are wrong",2,"global warming theorists are","wrong"
"globe pulled a handgun and",2,"globe pulled a handgun","and"
"gloria is sung the second",2,"gloria is sung the","second"
"gm adverse human reproductive outcomes",2,"gm adverse human reproductive","outcomes"
"go a long way towards",2,"go a long way","towards"
"go across the border to",2,"go across the border","to"
"go after bin laden if",2,"go after bin laden","if"
"go after that are responsible",2,"go after that are","responsible"
"go ahead and let them",2,"go ahead and let","them"
"go all the way to",2,"go all the way","to"
"go along with the plan",2,"go along with the","plan"
"go and give them a",2,"go and give them","a"
"go as far as i",2,"go as far as","i"
"go back in time and",2,"go back in time","and"
"go back to bed and",2,"go back to bed","and"
"go back to school to",2,"go back to school","to"
"go back to sleep i",2,"go back to sleep","i"
"go back to the basics",2,"go back to the","basics"
"go back to the start",2,"go back to the","start"
"go bump in the night",2,"go bump in the","night"
"go for a long walk",2,"go for a long","walk"
"go i really like the",2,"go i really like","the"
"go in the first half",2,"go in the first","half"
"go into all the world",2,"go into all the","world"
"go on and on and",2,"go on and on","and"
"go on and win the",2,"go on and win","the"
"go on but you get",2,"go on but you","get"
"go on without strict immigration",2,"go on without strict","immigration"
"go out and do it",2,"go out and do","it"
"go out for the day",2,"go out for the","day"
"go out of their way",2,"go out of their","way"
"go out on my own",2,"go out on my","own"
"go over to my friends",2,"go over to my","friends"
"go over well with the",2,"go over well with","the"
"go see the cabin in",2,"go see the cabin","in"
"go there more often as",2,"go there more often","as"
"go through the process of",2,"go through the process","of"
"go to a running store",2,"go to a running","store"
"go to bed every night",2,"go to bed every","night"
"go to grad school and",2,"go to grad school","and"
"go to the back entrance",2,"go to the back","entrance"
"go to the doctors for",2,"go to the doctors","for"
"go to the gym i",2,"go to the gym","i"
"go to the polls and",2,"go to the polls","and"
"go to the store and",2,"go to the store","and"
"go to the store specifically",2,"go to the store","specifically"
"go to toys r us",2,"go to toys r","us"
"go with it and i",2,"go with it and","i"
"go with you when you",2,"go with you when","you"
